Energia,Proteina,Carbohidrato,Azucares,Grasa
131,3,21.6,19.24,3.6
34,3.4,4.89,5.05,0.08
142,3.2,23.9,18.71,3.73
73,9.95,3.94,3.56,1.92
159,4,24.2,24,5.6
63,5.25,7.04,7.04,1.55
40,3.31,4.79,4.79,1.07
105,8.17,12.29,11.23,2.57
32,3.2,4.6,4.06,0.07
34,3.43,4.89,5.05,0.08
76,4.01,5.86,5.86,4.08
76,2.99,12.13,9.55,1.9
67,3.39,13.46,8.39,0
83,5.09,15.02,12.58,0.17
56,5.73,7.68,7.68,0.18
61,10.3,3.64,3.27,0.37
67,3.39,13.46,8.39,0
30,0.38,5.24,4.77,0.93
89,4.66,14.46,12.02,1.37
63,5.25,7.01,7.01,1.55
50,3.35,4.91,4.89,1.9
127,3,21.6,19.92,3.6
92,7.42,11.15,11.15,1.96
92,5.35,3.95,2.92,6.31
47,0.28,9.17,5.28,0.97
73,9.95,3.94,3.56,1.92
64,3.46,10.15,9.94,1.11
127,3,21.6,19.92,3.6
87,3.1,12.36,9.92,2.87
98,3.4,13.22,11.46,3.53
52,3.59,7.48,6.91,0.96
84,3.36,15.86,11.68,1.01
72,3.71,11.81,9.78,1.09
321,7.91,54.4,54.4,8.7
41,0.43,8.34,7.72,0.95
29,1.04,3.75,3.03,1.17
62,3.21,4.88,4.88,3.31
160,4.31,24.87,23.56,5.76
134,6.81,10.04,10.04,7.56
103,2.73,15.89,14.6,3.18
111,8.47,9.35,9.35,4.44
31,0.21,2.92,2.5,2.08
30,2.38,3.51,2.61,0.77
127,3,21.6,19.92,3.6
97,9,3.98,4,5
90,2.79,15.87,14.72,1.77
66,5.56,10.44,10.44,0.18
147,3.29,25.28,19.62,3.61
106,7.33,12.29,12,3
61,3.47,4.66,4.66,3.25
